unit,type,from,to,desc,loc
Unit: 02,S,0,0.5,"SAND, medium dense to very dense, ",LOC: 02
Unit: 03,C,0.5,5.2,"CLAY, low strength",LOC: 02
Unit: 04,S,5.2,6.5,"SAND,  very dense",LOC: 02
Unit: 04,S,6.5,8.5,,LOC: 02
Unit: 04,S,8.5,14.5,,LOC: 02
Unit: 04,S,14.5,17.5,"SAND, very dense",LOC: 02
Unit: 04,S,17.5,19.5,,LOC: 02
Unit: 06,C_S,19.5,28,"CLAY, extremely  high strength ",LOC: 02
Unit: 06,C_S,28,33.5,"CLAY, extremely  high strength ",LOC: 02
Unit: 08,C_S,33.5,35,"CLAY and SILT, sandy, extremely high strength to ultra high strength",LOC: 02
Unit: 08,C_S,35,38,,LOC: 02
Unit: 08,C_S,38,40.39,,LOC: 02
Unit: 01,S,0,0.1,"SAND, loose to very dense",LOC: 03
Unit: 03,C,0.1,1,"CLAY, low strength",LOC: 03
Unit: 04,S,1,5,"SAND, dense to very dense",LOC: 03
Unit: 04,S,5,7,,LOC: 03
Unit: 04,S,7,10.5,,LOC: 03
Unit: 04,S,10.5,12,"SAND, dense to very dense",LOC: 03
Unit: 04,S,12,13.3,,LOC: 03
Unit: 06,C_S,13.3,26.4,"CLAY, extremely high strength ",LOC: 03
Unit: 08,C_S,26.4,34.2,"CLAY and SILT, sandy, extremely high strength to ultra high strength",LOC: 03
Unit: 09,S,34.2,39.76,"SAND, very dense",LOC: 03
Unit: 01,S,0,0.4,"SAND, loose to very dense",LOC: 04
Unit: 04,S,0.4,2,"SAND, very dense",LOC: 04
Unit: 04,S,2,10,,LOC: 04
Unit: 04,S,10,12,,LOC: 04
Unit: 04,S,12,13,"SAND, dense to very dense",LOC: 04
Unit: 04,S,13,15,,LOC: 04
Unit: 06,C_S,15,17,"CLAY, very high strength ",LOC: 04
Unit: 06,C_S,17,21.5,,LOC: 04
Unit: 06,C_S,21.5,28.3,"CLAY, very high to extremely high strength, with sand layers",LOC: 04
Unit: 08,C_S,28.3,32,"CLAY and SILT, sandy, extremely high strength to ultra high strength",LOC: 04
